DataSize(Bytes),Pageable_H2D(MB/s),Pageable_D2H(MB/s),Pinned_H2D(MB/s),Pinned_D2H(MB/s),Mapped_H2D(MB/s),Mapped_D2H(MB/s)
51200,2260.56,1234.28,3320.74,3705.84,2688.77,5449.57
51712,2256.42,1299.99,3328.59,3770.37,2823.89,5508.98
52224,2305.77,1314.8,3416.9,3739.09,2787.99,5716.79
52736,2311.26,1275.69,3431.56,3803.16,2770.66,5623.1
53248,2235.09,1345.41,3436.74,3796.45,2814.93,5708.32
53760,2344.93,1337.37,3534.85,3814.7,2819.49,5722.05
54272,2353.48,1320.89,3483.97,3860.22,2872.88,5776.54
54784,2336.59,1349.05,3535.88,3938.94,2848.13,5815.46
55296,2340.84,1321.27,3438.6,3857.11,2868.49,5838.62
55808,2386.24,1092.78,3551.97,3594.18,2824.98,5908.38
56320,2388.43,1343.04,3557.96,3898.88,2933.1,5967.88
56832,2408.43,1304.12,3490.42,3922.93,2880.49,5922.12
57344,2447.52,1352.04,3611.17,4040.15,2987.73,5933.97
57856,2523.59,1392.77,3704.07,3979.79,2985.7,6002.59
58368,2443.12,1414.23,3722.85,3944.45,2986.27,5896.62
58880,2567.32,1456.23,3729.57,4090.35,2995.75,6082.36
59392,2514.23,1473.79,3788.16,3856.25,3109.39,6140.57
59904,2590.18,1455.59,3481.77,4029.97,3063.54,6198.88
60416,2617.06,1447.67,3976.89,4087.48,3095.04,6062.41
60928,2595.85,1485.01,3840.92,4145.65,3106.58,6293.92
61440,2543.13,1492.3,3820.67,4161.49,3128.67,6222.79
61952,2570.57,1514.92,3878.81,4276.35,3161.5,6242.82
62464,2583.72,1422.68,3781.76,4180.96,3136.6,6289.1
62976,2665.01,1530.55,3908.03,4263.1,3215.13,6282.28
63488,2675.28,1504.64,3887.19,4247.12,3182.66,6392.2
64000,2591.51,1483.16,3756.47,4300.67,3177.59,6274.17
64512,2640.94,1498.23,3921.69,4265.35,3220.45,6324.37
65024,3273.42,1475.63,3930.76,4282.58,3188.59,6374.56
65536,2712.67,1518.17,4216.14,4321.07,3225.64,6361.97
66048,3097.38,1600.96,3998.75,4388.82,3269.74,6474.95
66560,3301.94,1610.75,4058.6,4398.32,3331.05,6525.14
67072,3205.94,1659.87,4058.68,4442,3346.84,6300.71
67584,3236.9,1593.48,4135.85,4473.43,3333.32,6304.1
68096,3267.99,1647.59,4112.3,4472.55,3379.55,6494.14
68608,3249.39,1658.63,4134.84,4215.83,3499.66,6434.86
69120,3006.11,1638.77,4124,4329.87,3609.18,6437.3
69632,3334.99,1670.51,4095.11,4489.34,3500.96,6598.4
70144,3263.78,1694.05,4264.06,4579.31,3686.87,6532.67
70656,3342.4,1747.48,4258.27,4570.19,3457.66,6580.35
71168,3367.96,1687.66,4254.71,4556.33,3494.19,6312.42
71680,3360.17,1746.36,4298.25,4631.39,3516.43,6405.49
72192,3380.19,1731.93,4305.13,4713.01,3527.03,6614.88
