,block_id,thread_id,coordinate,value
4004,"(00,00)","(04,02)","(04,02)",132
2020,"(00,00)","(04,03)","(04,03)",196
3460,"(00,00)","(04,04)","(04,04)",260
3716,"(00,00)","(04,05)","(04,05)",324
3972,"(00,00)","(04,06)","(04,06)",388
1988,"(00,00)","(04,07)","(04,07)",452
2692,"(00,00)","(04,08)","(04,08)",516
3684,"(00,00)","(04,09)","(04,09)",580
3236,"(00,00)","(04,10)","(04,10)",644
1956,"(00,00)","(04,11)","(04,11)",708
2436,"(00,00)","(04,12)","(04,12)",772
2980,"(00,00)","(04,13)","(04,13)",836
2404,"(00,00)","(04,14)","(04,14)",900
1060,"(00,00)","(04,15)","(04,15)",964
2244,"(00,00)","(04,16)","(04,16)",1028
2916,"(00,00)","(04,17)","(04,17)",1092
2148,"(00,00)","(04,18)","(04,18)",1156
1092,"(00,00)","(04,19)","(04,19)",1220
1028,"(00,00)","(04,20)","(04,20)",1284
1764,"(00,00)","(04,21)","(04,21)",1348
1444,"(00,00)","(04,22)","(04,22)",1412
836,"(00,00)","(04,23)","(04,23)",1476
1124,"(00,00)","(04,24)","(04,24)",1540
1668,"(00,00)","(04,25)","(04,25)",1604
324,"(00,00)","(04,26)","(04,26)",1668
228,"(00,00)","(04,27)","(04,27)",1732
36,"(00,00)","(04,28)","(04,28)",1796
452,"(00,00)","(04,29)","(04,29)",1860
1316,"(00,00)","(04,30)","(04,30)",1924
164,"(00,00)","(04,31)","(04,31)",1988
4037,"(00,00)","(05,00)","(05,00)",5
3781,"(00,00)","(05,01)","(05,01)",69
4005,"(00,00)","(05,02)","(05,02)",133
2021,"(00,00)","(05,03)","(05,03)",197
3461,"(00,00)","(05,04)","(05,04)",261
3717,"(00,00)","(05,05)","(05,05)",325
3973,"(00,00)","(05,06)","(05,06)",389
1989,"(00,00)","(05,07)","(05,07)",453
2693,"(00,00)","(05,08)","(05,08)",517
3685,"(00,00)","(05,09)","(05,09)",581
3237,"(00,00)","(05,10)","(05,10)",645
1957,"(00,00)","(05,11)","(05,11)",709
2437,"(00,00)","(05,12)","(05,12)",773
2981,"(00,00)","(05,13)","(05,13)",837
2405,"(00,00)","(05,14)","(05,14)",901
1061,"(00,00)","(05,15)","(05,15)",965
2245,"(00,00)","(05,16)","(05,16)",1029
2917,"(00,00)","(05,17)","(05,17)",1093
2149,"(00,00)","(05,18)","(05,18)",1157
1093,"(00,00)","(05,19)","(05,19)",1221
1029,"(00,00)","(05,20)","(05,20)",1285
1765,"(00,00)","(05,21)","(05,21)",1349
1445,"(00,00)","(05,22)","(05,22)",1413
837,"(00,00)","(05,23)","(05,23)",1477
1125,"(00,00)","(05,24)","(05,24)",1541
1669,"(00,00)","(05,25)","(05,25)",1605
325,"(00,00)","(05,26)","(05,26)",1669
229,"(00,00)","(05,27)","(05,27)",1733
37,"(00,00)","(05,28)","(05,28)",1797
453,"(00,00)","(05,29)","(05,29)",1861
1317,"(00,00)","(05,30)","(05,30)",1925
165,"(00,00)","(05,31)","(05,31)",1989
4038,"(00,00)","(06,00)","(06,00)",6
3782,"(00,00)","(06,01)","(06,01)",70
4006,"(00,00)","(06,02)","(06,02)",134
2022,"(00,00)","(06,03)","(06,03)",198
3462,"(00,00)","(06,04)","(06,04)",262
3718,"(00,00)","(06,05)","(06,05)",326
3974,"(00,00)","(06,06)","(06,06)",390
1990,"(00,00)","(06,07)","(06,07)",454
2694,"(00,00)","(06,08)","(06,08)",518
3686,"(00,00)","(06,09)","(06,09)",582
3238,"(00,00)","(06,10)","(06,10)",646
1958,"(00,00)","(06,11)","(06,11)",710
2438,"(00,00)","(06,12)","(06,12)",774
2982,"(00,00)","(06,13)","(06,13)",838
2406,"(00,00)","(06,14)","(06,14)",902
1062,"(00,00)","(06,15)","(06,15)",966
2246,"(00,00)","(06,16)","(06,16)",1030
2918,"(00,00)","(06,17)","(06,17)",1094
2150,"(00,00)","(06,18)","(06,18)",1158
1094,"(00,00)","(06,19)","(06,19)",1222
1030,"(00,00)","(06,20)","(06,20)",1286
1766,"(00,00)","(06,21)","(06,21)",1350
1446,"(00,00)","(06,22)","(06,22)",1414
838,"(00,00)","(06,23)","(06,23)",1478
1126,"(00,00)","(06,24)","(06,24)",1542
1670,"(00,00)","(06,25)","(06,25)",1606
326,"(00,00)","(06,26)","(06,26)",1670
230,"(00,00)","(06,27)","(06,27)",1734
38,"(00,00)","(06,28)","(06,28)",1798
454,"(00,00)","(06,29)","(06,29)",1862
1318,"(00,00)","(06,30)","(06,30)",1926
166,"(00,00)","(06,31)","(06,31)",1990
4039,"(00,00)","(07,00)","(07,00)",7
3783,"(00,00)","(07,01)","(07,01)",71
4007,"(00,00)","(07,02)","(07,02)",135
2023,"(00,00)","(07,03)","(07,03)",199
3463,"(00,00)","(07,04)","(07,04)",263
3719,"(00,00)","(07,05)","(07,05)",327
3975,"(00,00)","(07,06)","(07,06)",391
1991,"(00,00)","(07,07)","(07,07)",455
2695,"(00,00)","(07,08)","(07,08)",519
3687,"(00,00)","(07,09)","(07,09)",583
3239,"(00,00)","(07,10)","(07,10)",647
1959,"(00,00)","(07,11)","(07,11)",711
2439,"(00,00)","(07,12)","(07,12)",775
2983,"(00,00)","(07,13)","(07,13)",839
2407,"(00,00)","(07,14)","(07,14)",903
1063,"(00,00)","(07,15)","(07,15)",967
2247,"(00,00)","(07,16)","(07,16)",1031
2919,"(00,00)","(07,17)","(07,17)",1095
2151,"(00,00)","(07,18)","(07,18)",1159
1095,"(00,00)","(07,19)","(07,19)",1223
1031,"(00,00)","(07,20)","(07,20)",1287
1767,"(00,00)","(07,21)","(07,21)",1351
1447,"(00,00)","(07,22)","(07,22)",1415
839,"(00,00)","(07,23)","(07,23)",1479
1127,"(00,00)","(07,24)","(07,24)",1543
1671,"(00,00)","(07,25)","(07,25)",1607
327,"(00,00)","(07,26)","(07,26)",1671
231,"(00,00)","(07,27)","(07,27)",1735
39,"(00,00)","(07,28)","(07,28)",1799
455,"(00,00)","(07,29)","(07,29)",1863
1319,"(00,00)","(07,30)","(07,30)",1927
167,"(00,00)","(07,31)","(07,31)",1991
4040,"(00,00)","(08,00)","(08,00)",8
3784,"(00,00)","(08,01)","(08,01)",72
4008,"(00,00)","(08,02)","(08,02)",136
2024,"(00,00)","(08,03)","(08,03)",200
3464,"(00,00)","(08,04)","(08,04)",264
3720,"(00,00)","(08,05)","(08,05)",328
3976,"(00,00)","(08,06)","(08,06)",392
1992,"(00,00)","(08,07)","(08,07)",456
2696,"(00,00)","(08,08)","(08,08)",520
3688,"(00,00)","(08,09)","(08,09)",584
3240,"(00,00)","(08,10)","(08,10)",648
1960,"(00,00)","(08,11)","(08,11)",712
2440,"(00,00)","(08,12)","(08,12)",776
2984,"(00,00)","(08,13)","(08,13)",840
2408,"(00,00)","(08,14)","(08,14)",904
1064,"(00,00)","(08,15)","(08,15)",968
2248,"(00,00)","(08,16)","(08,16)",1032
2920,"(00,00)","(08,17)","(08,17)",1096
2152,"(00,00)","(08,18)","(08,18)",1160
1096,"(00,00)","(08,19)","(08,19)",1224
1032,"(00,00)","(08,20)","(08,20)",1288
1768,"(00,00)","(08,21)","(08,21)",1352
1448,"(00,00)","(08,22)","(08,22)",1416
840,"(00,00)","(08,23)","(08,23)",1480
1128,"(00,00)","(08,24)","(08,24)",1544
1672,"(00,00)","(08,25)","(08,25)",1608
328,"(00,00)","(08,26)","(08,26)",1672
232,"(00,00)","(08,27)","(08,27)",1736
40,"(00,00)","(08,28)","(08,28)",1800
456,"(00,00)","(08,29)","(08,29)",1864
1320,"(00,00)","(08,30)","(08,30)",1928
168,"(00,00)","(08,31)","(08,31)",1992
4041,"(00,00)","(09,00)","(09,00)",9
3785,"(00,00)","(09,01)","(09,01)",73
4009,"(00,00)","(09,02)","(09,02)",137
2025,"(00,00)","(09,03)","(09,03)",201
3465,"(00,00)","(09,04)","(09,04)",265
3721,"(00,00)","(09,05)","(09,05)",329
3977,"(00,00)","(09,06)","(09,06)",393
1993,"(00,00)","(09,07)","(09,07)",457
2697,"(00,00)","(09,08)","(09,08)",521
3689,"(00,00)","(09,09)","(09,09)",585
3241,"(00,00)","(09,10)","(09,10)",649
1961,"(00,00)","(09,11)","(09,11)",713
2441,"(00,00)","(09,12)","(09,12)",777
2985,"(00,00)","(09,13)","(09,13)",841
2409,"(00,00)","(09,14)","(09,14)",905
1065,"(00,00)","(09,15)","(09,15)",969
2249,"(00,00)","(09,16)","(09,16)",1033
2921,"(00,00)","(09,17)","(09,17)",1097
2153,"(00,00)","(09,18)","(09,18)",1161
1097,"(00,00)","(09,19)","(09,19)",1225
1033,"(00,00)","(09,20)","(09,20)",1289
1769,"(00,00)","(09,21)","(09,21)",1353
1449,"(00,00)","(09,22)","(09,22)",1417
841,"(00,00)","(09,23)","(09,23)",1481
1129,"(00,00)","(09,24)","(09,24)",1545
1673,"(00,00)","(09,25)","(09,25)",1609
329,"(00,00)","(09,26)","(09,26)",1673
233,"(00,00)","(09,27)","(09,27)",1737
41,"(00,00)","(09,28)","(09,28)",1801
457,"(00,00)","(09,29)","(09,29)",1865
1321,"(00,00)","(09,30)","(09,30)",1929
169,"(00,00)","(09,31)","(09,31)",1993
4042,"(00,00)","(10,00)","(10,00)",10
3786,"(00,00)","(10,01)","(10,01)",74
4010,"(00,00)","(10,02)","(10,02)",138
2026,"(00,00)","(10,03)","(10,03)",202
3466,"(00,00)","(10,04)","(10,04)",266
3722,"(00,00)","(10,05)","(10,05)",330
3978,"(00,00)","(10,06)","(10,06)",394
1994,"(00,00)","(10,07)","(10,07)",458
2698,"(00,00)","(10,08)","(10,08)",522
3690,"(00,00)","(10,09)","(10,09)",586
3242,"(00,00)","(10,10)","(10,10)",650
1962,"(00,00)","(10,11)","(10,11)",714
2442,"(00,00)","(10,12)","(10,12)",778
2986,"(00,00)","(10,13)","(10,13)",842
2410,"(00,00)","(10,14)","(10,14)",906
1066,"(00,00)","(10,15)","(10,15)",970
2250,"(00,00)","(10,16)","(10,16)",1034
2922,"(00,00)","(10,17)","(10,17)",1098
2154,"(00,00)","(10,18)","(10,18)",1162
1098,"(00,00)","(10,19)","(10,19)",1226
1034,"(00,00)","(10,20)","(10,20)",1290
1770,"(00,00)","(10,21)","(10,21)",1354
1450,"(00,00)","(10,22)","(10,22)",1418
842,"(00,00)","(10,23)","(10,23)",1482
1130,"(00,00)","(10,24)","(10,24)",1546
1674,"(00,00)","(10,25)","(10,25)",1610
330,"(00,00)","(10,26)","(10,26)",1674
234,"(00,00)","(10,27)","(10,27)",1738
42,"(00,00)","(10,28)","(10,28)",1802
458,"(00,00)","(10,29)","(10,29)",1866
1322,"(00,00)","(10,30)","(10,30)",1930
170,"(00,00)","(10,31)","(10,31)",1994
4043,"(00,00)","(11,00)","(11,00)",11
3787,"(00,00)","(11,01)","(11,01)",75
4011,"(00,00)","(11,02)","(11,02)",139
2027,"(00,00)","(11,03)","(11,03)",203
3467,"(00,00)","(11,04)","(11,04)",267
3723,"(00,00)","(11,05)","(11,05)",331
3979,"(00,00)","(11,06)","(11,06)",395
1995,"(00,00)","(11,07)","(11,07)",459
2699,"(00,00)","(11,08)","(11,08)",523
3691,"(00,00)","(11,09)","(11,09)",587
3243,"(00,00)","(11,10)","(11,10)",651
1963,"(00,00)","(11,11)","(11,11)",715
2443,"(00,00)","(11,12)","(11,12)",779
2987,"(00,00)","(11,13)","(11,13)",843
2411,"(00,00)","(11,14)","(11,14)",907
1067,"(00,00)","(11,15)","(11,15)",971
2251,"(00,00)","(11,16)","(11,16)",1035
